SOC,Volts
0,6.92E-05
0.002,0.006596179
0.004,0.011754602
0.006,0.015719716
0.008,0.018666721
0.01,0.020770815
0.012,0.022207199
0.014,0.023180284
0.016,0.024011332
0.018,0.025050816
0.02,0.026649211
0.022,0.029038717
0.024,0.031978448
0.026,0.035109241
0.028,0.038133249
0.03,0.040997865
0.032,0.043711795
0.034,0.046283745
0.036,0.048722421
0.038,0.051036527
0.04,0.053234771
0.042,0.055325856
0.044,0.057318489
0.046,0.059221376
0.048,0.061043221
0.05,0.062792731
0.052,0.064477378
0.054,0.066099701
0.056,0.067661004
0.058,0.069162592
0.06,0.070605771
0.062,0.071991845
0.064,0.07332212
0.066,0.074597902
0.068,0.075820494
0.07,0.076991202
0.072,0.078111331
0.074,0.079182187
0.076,0.080205074
0.078,0.081181297
0.08,0.082112162
0.082,0.082998973
0.084,0.083843037
0.086,0.084645657
0.088,0.085408139
0.09,0.086131787
0.092,0.086817908
0.094,0.087467806
0.096,0.088082787
0.098,0.088664155
0.1,0.089213215
0.102,0.089731272
0.104,0.090219633
0.106,0.090679601
0.108,0.091112482
0.11,0.091519581
0.112,0.091902202
0.114,0.092261652
0.116,0.092599236
0.118,0.092916257
0.12,0.093214022
0.122,0.093493835
0.124,0.093757002
0.126,0.094004827
0.128,0.094238616
0.13,0.094459674
0.132,0.094669306
0.134,0.094868817
0.136,0.095059512
0.138,0.095242697
0.14,0.095419675
0.142,0.095591753
0.144,0.095760025
0.146,0.095924739
0.148,0.096085934
0.15,0.096243649
0.152,0.096397921
0.154,0.096548789
0.156,0.096696291
0.158,0.096840465
0.16,0.09698135
0.162,0.097118985
0.164,0.097253406
0.166,0.097384653
0.168,0.097512764
0.17,0.097637776
0.172,0.09775973
0.174,0.097878661
0.176,0.09799461
0.178,0.098107614
0.18,0.098217711
0.182,0.09832494
0.184,0.098429339
0.186,0.098530947
0.188,0.0986298
0.19,0.098725939
0.192,0.098819401
0.194,0.098910224
0.196,0.098998447
0.198,0.099084108
0.2,0.099167245
0.202,0.099247896
0.204,0.0993261
0.206,0.099401896
0.208,0.09947532
0.21,0.099546412
0.212,0.099615211
0.214,0.099681753
0.216,0.099746077
0.218,0.099808223
0.22,0.099868227
0.222,0.099926128
0.224,0.099981965
0.226,0.100035776
0.228,0.100087599
0.23,0.100137472
0.232,0.100185434
0.234,0.100231523
0.236,0.100275777
0.238,0.100318234
0.24,0.100358933
0.242,0.100397912
0.244,0.10043521
0.246,0.100470863
0.248,0.100504912
0.25,0.100537394
0.252,0.100568347
0.254,0.10059781
0.256,0.100625821
0.258,0.100652418
0.26,0.100677639
0.262,0.100701524
0.264,0.100724109
0.266,0.100745434
0.268,0.100765536
0.27,0.100784454
0.272,0.100802226
0.274,0.100818891
0.276,0.100834486
0.278,0.10084905
0.28,0.100862622
0.282,0.100875239
0.284,0.100886939
0.286,0.100897762
0.288,0.100907745
0.29,0.100916927
0.292,0.100925346
0.294,0.10093304
0.296,0.100940047
0.298,0.100946406
0.3,0.100952155
0.302,0.100957333
0.304,0.100961976
0.306,0.100966125
0.308,0.100969817
0.31,0.10097309
0.312,0.100975983
0.314,0.100978534
0.316,0.100980781
0.318,0.100982762
0.32,0.100984516
0.322,0.100986081
0.324,0.100987496
0.326,0.100988798
0.328,0.100990026
0.33,0.100991218
0.332,0.100992413
0.334,0.100993648
0.336,0.100994962
0.338,0.100996393
0.34,0.10099798
0.342,0.100999761
0.344,0.101001774
0.346,0.101004057
0.348,0.101006649
0.35,0.101009587
0.352,0.101012911
0.354,0.101016658
0.356,0.101020867
0.358,0.101025576
0.36,0.101030823
0.362,0.101036647
0.364,0.101043086
0.366,0.101050177
0.368,0.10105796
0.37,0.101066473
0.372,0.101075754
0.374,0.10108584
0.376,0.101096772
0.378,0.101108586
0.38,0.101121321
0.382,0.101135015
0.384,0.101149707
0.386,0.101165435
0.388,0.101182237
0.39,0.101200151
0.392,0.101219216
0.394,0.10123947
0.396,0.101260951
0.398,0.101283698
0.4,0.101307749
0.402,0.101333141
0.404,0.101359914
0.406,0.101388106
0.408,0.101417754
0.41,0.101448898
0.412,0.101481575
0.414,0.101515823
0.416,0.101551682
0.418,0.101589189
0.42,0.101628383
0.422,0.101669301
0.424,0.101711982
0.426,0.101756465
0.428,0.101802788
0.43,0.101850988
0.432,0.101901105
0.434,0.101953176
0.436,0.10200724
0.438,0.102063334
0.44,0.102121499
0.442,0.10218177
0.444,0.102244188
0.446,0.10230879
0.448,0.102375614
0.45,0.102444698
0.452,0.102516082
0.454,0.102589803
0.456,0.1026659
0.458,0.10274441
0.46,0.102825372
0.462,0.102908825
0.464,0.102994806
0.466,0.103083354
0.468,0.103174508
0.47,0.103268304
0.472,0.103380918
0.474,0.103593063
0.476,0.104001587
0.478,0.104703342
0.48,0.105795175
0.482,0.10732286
0.484,0.109127866
0.486,0.111000587
0.488,0.11276741
0.49,0.114398703
0.492,0.115900831
0.494,0.117280158
0.496,0.118543046
0.498,0.119695859
0.5,0.120744962
0.502,0.121696718
0.504,0.12255749
0.506,0.123333642
0.508,0.124031538
0.51,0.124657542
0.512,0.125218017
0.514,0.125719326
0.516,0.126167835
0.518,0.126569905
0.52,0.126931901
0.522,0.127260187
0.524,0.127561125
0.526,0.127841081
0.528,0.128106417
0.53,0.128362463
0.532,0.128610411
0.534,0.128850419
0.536,0.129082645
0.538,0.129307248
0.54,0.129524384
0.542,0.129734212
0.544,0.12993689
0.546,0.130132576
0.548,0.130321429
0.55,0.130503605
0.552,0.130679262
0.554,0.13084856
0.556,0.131011656
0.558,0.131168707
0.56,0.131319872
0.562,0.131465309
0.564,0.131605175
0.566,0.13173963
0.568,0.131868829
0.57,0.131992933
0.572,0.132112098
0.574,0.132226483
0.576,0.132336245
0.578,0.132441543
0.58,0.132542534
0.582,0.132639377
0.584,0.13273223
0.586,0.132821249
0.588,0.132906595
0.59,0.132988423
0.592,0.133066893
0.594,0.133142163
0.596,0.133214389
0.598,0.133283731
0.6,0.133350346
0.602,0.133414393
0.604,0.133476028
0.606,0.133535411
0.608,0.133592699
0.61,0.13364805
0.612,0.133701622
0.614,0.133753574
0.616,0.133804062
0.618,0.133853246
0.62,0.133901282
0.622,0.133948329
0.624,0.133994546
0.626,0.134040089
0.628,0.134085117
0.63,0.134129789
0.632,0.134174261
0.634,0.134218691
0.636,0.134263239
0.638,0.134308061
0.64,0.134353317
0.642,0.134399163
0.644,0.134445757
0.646,0.134493259
0.648,0.134541825
0.65,0.134591613
0.652,0.134642783
0.654,0.13469549
0.656,0.134749895
0.658,0.134806154
0.66,0.134864425
0.662,0.134924867
0.664,0.134987638
0.666,0.135052894
0.668,0.135120796
0.67,0.135191499
0.672,0.135265163
0.674,0.135341946
0.676,0.135422004
0.678,0.135505497
0.68,0.135592582
0.682,0.135683418
0.684,0.135778161
0.686,0.135876971
0.688,0.135980005
0.69,0.136087421
0.692,0.136199378
0.694,0.136316032
0.696,0.136437542
0.698,0.136564067
0.7,0.136695763
0.702,0.13683279
0.704,0.136975304
0.706,0.137123464
0.708,0.137277428
0.71,0.137437355
0.712,0.1376034
0.714,0.137775724
0.716,0.137954484
0.718,0.138139837
0.72,0.138331942
0.722,0.138530957
0.724,0.13873704
0.726,0.138950348
0.728,0.13917104
0.73,0.139399273
0.732,0.139635207
0.734,0.139878997
0.736,0.140130804
0.738,0.140390783
0.74,0.140659095
0.742,0.140935896
0.744,0.141222771
0.746,0.141527018
0.748,0.14185736
0.75,0.142222521
0.752,0.142631223
0.754,0.143092192
0.756,0.14361415
0.758,0.144205821
0.76,0.144875929
0.762,0.145633198
0.764,0.146486352
0.766,0.147444113
0.768,0.148515206
0.77,0.149708354
0.772,0.151025785
0.774,0.152443738
0.776,0.153931957
0.778,0.155460184
0.78,0.156998163
0.782,0.158515637
0.784,0.159988746
0.786,0.161419213
0.788,0.162815158
0.79,0.164184702
0.792,0.165535965
0.794,0.166877066
0.796,0.168216126
0.798,0.169561264
0.8,0.170920601
0.802,0.172302257
0.804,0.173714352
0.806,0.175165006
0.808,0.176662338
0.81,0.178212023
0.812,0.179809944
0.814,0.181449539
0.816,0.183124245
0.818,0.1848275
0.82,0.186552742
0.822,0.188293408
0.824,0.190042935
0.826,0.19179476
0.828,0.193542323
0.83,0.195279058
0.832,0.196998406
0.834,0.198694212
0.836,0.200361969
0.838,0.201997576
0.84,0.203596936
0.842,0.20515595
0.844,0.206670517
0.846,0.208136541
0.848,0.209549922
0.85,0.21090656
0.852,0.212202358
0.854,0.213433216
0.856,0.214595036
0.858,0.215683718
0.86,0.216696194
0.862,0.217633508
0.864,0.218497737
0.866,0.219290956
0.868,0.220015239
0.87,0.220672663
0.872,0.221265302
0.874,0.221795232
0.876,0.222264528
0.878,0.222675266
0.88,0.22302952
0.882,0.223329365
0.884,0.223576878
0.886,0.223780122
0.888,0.223971114
0.89,0.224187861
0.892,0.224468367
0.894,0.224850639
0.896,0.225372684
0.898,0.226072506
0.9,0.226988112
0.902,0.228157507
0.904,0.229618698
0.906,0.23140969
0.908,0.233565465
0.91,0.236108898
0.912,0.239059844
0.914,0.242438154
0.916,0.24626368
0.918,0.250556275
0.92,0.255335791
0.922,0.26062208
0.924,0.266434994
0.926,0.272794386
0.928,0.279720109
0.93,0.287232013
0.932,0.295337826
0.934,0.303996769
0.936,0.313155939
0.938,0.32276243
0.94,0.332763338
0.942,0.34310576
0.944,0.353756393
0.946,0.364760347
0.948,0.376182331
0.95,0.388087058
0.952,0.400539239
0.954,0.413603584
0.956,0.427347344
0.958,0.441847918
0.96,0.457185247
0.962,0.473439268
0.964,0.490689923
0.966,0.509017149
0.968,0.528523243
0.97,0.549399929
0.972,0.571861287
0.974,0.5961214
0.976,0.622394348
0.978,0.650894211
0.98,0.681887216
0.982,0.71584816
0.984,0.753303986
0.986,0.794717565
