Seconds,Volts,Amps
0,4.092466785,0
10,4.092466784,0
20,4.092466783,0
30,4.092466782,0
40,4.092466782,0
50,4.092466781,0
60,4.09246678,0
70,4.092466779,0
80,4.092466779,0
90,4.092466778,0
100,4.092466777,0
110,4.092466777,0
120,4.092466776,0
130,4.092466776,0
140,4.092466775,0
150,4.092466775,0
160,4.092466775,0
170,4.092466774,0
180,4.092466774,0
190,4.092466774,0
200,4.092466773,0
210,4.092466773,0
220,4.092466773,0
230,4.092466773,0
240,4.092466772,0
250,4.092466772,0
260,4.092466772,0
270,4.092466772,0
280,4.092466772,0
290,4.092466772,0
300,4.092466772,0
310,4.092466772,0
320,4.092466772,0
330,4.092466772,0
340,4.092466772,0
350,4.092466772,0
360,4.092466772,0
370,4.092466772,0
380,4.092466772,0
390,4.092466772,0
400,4.092466772,0
410,4.092466772,0
420,4.092466772,0
430,4.092466772,0
440,4.092466772,0
450,4.092466772,0
460,4.092466772,0
470,4.092466772,0
480,4.092466772,0
490,4.092466772,0
500,4.092466772,0
510,4.092466772,0
520,4.092466772,0
530,4.092466772,0
540,4.092466772,0
550,4.092466772,0
560,4.092466772,0
570,4.092466772,0
580,4.092466772,0
590,4.092466772,0
600,4.092466772,0
600.001,4.091581724,-0.001890002
605.001,4.090389397,-0.00189
610.001,4.089915788,-0.00189
615.001,4.089593092,-0.00189
620.001,4.089342485,-0.00189
625.001,4.089129707,-0.00189
630.001,4.088939183,-0.00189
635.001,4.088763162,-0.00189
640.001,4.08859699,-0.00189
645.001,4.088438347,-0.00189
650.001,4.088285436,-0.00189
655.001,4.08813672,-0.00189
660.001,4.087991677,-0.00189
665.001,4.087849312,-0.00189
670.001,4.087709192,-0.00189
675.001,4.087570483,-0.00189
680.001,4.087433501,-0.00189
685.001,4.087297837,-0.00189
690.001,4.087163381,-0.00189
695.001,4.087030019,-0.00189
700.001,4.086897608,-0.00189
705.001,4.086766082,-0.00189
710.001,4.086635301,-0.00189
715.001,4.086505149,-0.00189
720.001,4.086375538,-0.00189
725.001,4.086246438,-0.00189
730.001,4.086117709,-0.00189
735.001,4.085989252,-0.00189
740.001,4.085860972,-0.00189
745.001,4.085733107,-0.00189
750.001,4.08560545,-0.001889999
755.001,4.085477936,-0.001889999
760.001,4.085350511,-0.001889999
765.001,4.085223266,-0.001889999
770.001,4.085096202,-0.001889999
775.001,4.084969236,-0.001889999
780.001,4.084842343,-0.001889999
785.001,4.084715528,-0.001889999
790.001,4.084588845,-0.001889999
795.001,4.084462235,-0.001889999
800.001,4.084335688,-0.001889999
805.001,4.084209191,-0.001889999
810.001,4.084082778,-0.001889999
815.001,4.083956418,-0.00189
820.001,4.083830107,-0.00189
825.001,4.083703837,-0.00189
830.001,4.083577619,-0.00189
835.001,4.083451449,-0.00189
840.001,4.083325319,-0.00189
845.001,4.083199226,-0.00189
850.001,4.083073165,-0.00189
855.001,4.082947134,-0.00189
860.001,4.082821128,-0.00189
865.001,4.082695145,-0.00189
870.001,4.082569178,-0.00189
875.001,4.082443207,-0.00189
880.001,4.082317255,-0.00189
885.001,4.082191323,-0.00189
890.001,4.08206541,-0.00189
895.001,4.081939517,-0.00189
900.001,4.081813644,-0.00189
900.002,4.082699843,0
900.102,4.082796418,0
900.202,4.082859481,0
900.302,4.082910219,0
900.402,4.082954019,0
900.502,4.082993262,0
900.602,4.083029349,0
900.702,4.083062848,0
900.802,4.083094059,0
900.902,4.083123284,0
901.002,4.083150823,0
901.102,4.083176965,0
901.202,4.083201949,0
901.302,4.083225699,0
901.402,4.083248442,0
901.502,4.083270319,0
